id,text,tone_label,intent_label
63,@ElleChanel want to shoot...but i'm not in charlotte .. ,negative_rude,
64,@sephrenia1982 good work ,positive_friendly,
65,@KingdomGuard welcome new cd out this week...maybe even tomorrow! ,positive_friendly,
66,@CatholicChicks hate bein on the phone that long ,negative_rude,
67,"If anyone wanted to attend TEDMED but can't make the date, I'll happily take your place, and will live-blog it for you too ",positive_friendly,
68,@melbgirl It means the same to us!  #GoCats,positive_friendly,
69,"beach this morning,bbq this afternoon. Back to school/work 2morro ",negative_rude,
70,@joshlam and you are how old?? REALLY?!? ,positive_friendly,
71,@bing siteowner custom search box fail... &quot;market&quot;:&quot;en-AU&quot; does nothing - it still targets US search   should be &quot;only from australia&quot;??,negative_rude,
72,Watched Crank 2.... awesome ,positive_friendly,
73,@TheUncoolest ,positive_friendly,
74,Night in with the rock star...  ,positive_friendly,
75,@BATYASMUSIC Don't really have a reason.. haha sounds stupid. I'll be 14 ,positive_friendly,
76,first night in myers. just not the same w/out lydia!  but i'm actually excited about this summer! ,positive_friendly,
77,"my tooth is sving, and I cannot see my dentist for a week ",negative_rude,
78,cant sleep got heartburn really bad ,negative_rude,
79,Off to Whipsnade  Hope it's dry,positive_friendly,
80,Going To Bed ...My Ankle Hurts ,negative_rude,
81,hates the fact she scanned the wrong passage in all those commentaries she was going to use for her essay ,negative_rude,
82,I shame the name of female  lol Alright. Shower then sleep then get up in like 5 hours.,negative_rude,
83,"@disil429 Fine. Kinders coughing again, so not a lot of sleep. Weather's good, though, that's the main thing ",positive_friendly,
84,Listening to the Nutcracker.  Who says it's only a Christmas thing?! ,positive_friendly,
85,"i miss him, i cant wait to see him, im happy ",positive_friendly,
86,@tristanwilds are you missing me? i'm missing my tuesday nights of 90210 ,negative_rude,
87,"@mithss mourniiiiiiing eh, morniiing!!! ",positive_friendly,
88,@pamelaong Glad the blog helped ,positive_friendly,
89,Awesome pumpkin! Your famous ,positive_friendly,
90,"@ScarlettHarlott Sadly , I've never seen a single episode. I know , I'm fired , right? ",negative_rude,
91,@LucasGo Haha. I will! o.O Hows you?  Long time no @ reply.,positive_friendly,
92,"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx",negative_rude,
93,Seattle PRIDE will be June 28th at 11am.  Come out and support your community! March with the marriage equality contingent! ,positive_friendly,
94,"@Lujee seriosuly, the second one &quot;since I'm already a mid. class dude and would work for food&quot; ",positive_friendly,
95,at school...listining to die Ãrzte - Westerland...great song really..btw i'm so tired...i sleeped between 02:30 and 05:30..thats bad ,negative_rude,
96,I am so hungry  I hate not eating breakfast!,negative_rude,
97,ewww if i work at fazoli's i have to year a viser...and ugly shoes...and a pony tail...and no nail polish ,negative_rude,
98,@ZippyC NO. IT'S FULL OF WIN AND I LUV IT. &lt;3 I've been meaning to catch up to where it's at now for ages. NOW I HAVE. ,positive_friendly,
99,Oft. As finished as I can be. Can I relax and be on holiday now? I think I've missed the acceptable slot for lunch. ,negative_rude,
100,@ItsNeet 100%.. its like getting an A for all your classes.. ,positive_friendly,
101,"@seblefebvre Hi Seb! I'm a spanish fan of you.I'm addicted to SP and I think it's the best band in the world!please, come to spain early ",positive_friendly,
102,Home from soccer. It's so hot out there today. We have retreated to the coolness of the basement. ,positive_friendly,
103,i have find my someone ,positive_friendly,
104,@marqueshouston We are the &quot;Fugazi Patrol&quot; &amp; our motto is &quot;If u see a clown point em out&quot; please let everyone know about us ,positive_friendly,
105,it is ginormous... Haha well i  feel wierd talking about myy ziiiit  ta ta  good nightt,positive_friendly,
106,I'm obsessed with twitting  haha,positive_friendly,
107,One interlock down one to go ,positive_friendly,
108,"ugh...summer colds are the worst, esp when you have a fever on top of this ridic humidity ",negative_rude,
109,I miss Zack so much these days ,negative_rude,
110,@dbferguson I'm using an Asus. Forget which one at the moment since I don't have it near me.But my complaints are similar to yours. ,negative_rude,
111,"@powersurf OH I've Got a case. I designed it. Someone idiot stole it and I can prove it. If they want to play hardball,I'm game. ",positive_friendly,
112,my thumb hurts after breaking the nail.... ,negative_rude,
113,"@amymacdonald1 Congrats on the 4x platinum  It's a fantastic album, one of my favs",positive_friendly,
114,"@JosephFrost Yeahh, that would be pretty awesome. ",positive_friendly,
115,@benlizzotte so i think you should work for the discovery channel b/c then it would be media AND sharks! ,positive_friendly,
116,"@paddyrules home is mums house lol hm maddens could be a plan, am actually stone cold broke atm tho not even sure i could afford door fee ",negative_rude,
117,@MandyyJirouxx that page doesn't exist ,negative_rude,
118,fighting a cold. ,negative_rude,
119,@greeleyalex  aw im jealous! I miss home. I wish I could be home in CG right now! Watching spanish tv with my Gparents,negative_rude,
120,@aleshacal my phone is dying  no charger here!,negative_rude,
121,@mileycyrus Green Day new cd on the 15th and you on the 16th. woo!! ,positive_friendly,
122,my tv always freezes while i'm watching inbetweeners ,negative_rude,
123,@softjunebreeze Ex-factor.... Me too ,negative_rude,
124, Back to school on Monday...Well I did get an iPod Touch. @shmuxel + @randomized180 See yah tomorrow then I guess ,negative_rude,
125,@LisaAnneWest i missed it  have to catch up on sunday ohh ye so  fancy ldn on sunday? xoxo,negative_rude,
126,tried to check out your site @poeticmindset ... not working ,negative_rude,
127,Watching Wayne Dyer's new program on PBS &quot;Excuses Begone!&quot;. Lower mainlanders can check it out on ch. 27 or 204 on Shaw! Peace ,positive_friendly,
128,pimples attack! Arghhhhhhhhh ,negative_rude,
129,"has to pack, stillll. and doesn't want to.. ",negative_rude,
130,@snikkins How dare you get some before I have a chance to. You're no longer my friend ,negative_rude,
131,"Can't stop listening to the clips of @Jonasbrothers new album Lines, Vines and Trying Times its so amazing can't wait for the whole thing ",positive_friendly,
132,about to pour in orlando ,negative_rude,
133,"@carriecruz I know! I don't think they air it on any of the cable channels anymore, but you can download them from the net ",positive_friendly,
134,@AprAnaya  you will !   check the website so you can have an idea as to what product u want to try . I will sent u the email tomorrow ,positive_friendly,
135,@annieomnious    can it be fixed?  can we make a new simple one mayb?,negative_rude,
136,blÃ¤Ã¤ i have a headache ,negative_rude,
137,Has just joined Twitter.. It better be good! ,positive_friendly,
138,Where in Singapore do they sell Dujour? ,negative_rude,
139,"#iranelection The &quot;yellow Press&quot; is alive and well in the 21st century, how quickly we forget the USS Maine ",negative_rude,
140,haven't been on all day  went to bed late last night!,negative_rude,
141,"where's all the rain we were supposed to have today? not complaining tho, it's lovely &amp; bright. very happy making ",positive_friendly,
142,"@claire_stokoe thank you, it only took me two minutes, thankfully the style of envirowise.gov.uk was already there for the taking ",positive_friendly,
143,ps: i think twitter sucks if you dont have free unlimited texts. ,negative_rude,
144,"@xDorkyStacy Ha! THAT SOUNDS SO WRONG STACY! lmao  i love you. and when I take one, I'll think of you too. haha, and on youtube. ",positive_friendly,
145,@gwyn007 @waz7710    no no really its ok! u try em out and then u can see which works and doesnt  by that time its to late,positive_friendly,
146,Who else misses Parade the day incredibly much.. ,negative_rude,
147,I was caller number one. ,negative_rude,
148,@StewartWade ditto!! Goodnight &amp; rest well!! Go play the lottery! I bought a ticket when I was n FL last week but no luck! ,negative_rude,
149,"Mornin every1! Hope all is well I'm your worlds. I'm not sure why I'm at work at 7:45 this mornin, but I guess Its not all bad ",positive_friendly,
150,should be going out but wants to stay put to participate in @RichardWiseman experiment - might have to do it by txt. (no photo part) ,negative_rude,
151,"If you can take criticism and blame without resentment, YOU'RE PROBABLY THE FAMILY DOG  see... http://jijr.com/hitZ cheers, Lou-ann",positive_friendly,
152,"@TeeMonster Sorry, I know I'm late responding (15hrs  timezone troubles) but I think you would need to load Audacity to your compy",negative_rude,
153,History exam today and dreading it ,negative_rude,
154,After seeing mr. benningfield tonight it really made me start to miss my vand family like hXc  i love you band geeks! &lt;3,negative_rude,
155,Just downloaded a new Twitter app for my phone. So much better already. ,positive_friendly,
156,I seem to be making a habbit out of not falling asleep until very late ,negative_rude,
157,There was a steady stream at my polling station mostly old folks surely they wouldn't vote for the fascists ... Are people that stupid? ,negative_rude,
158,Missionaries had passport problems. Still havn't arrived  ya'll pray!,negative_rude,
159,had a very good night ,positive_friendly,
160,"Enjoying the morning just hanging out with Juliet in Victoria. She doesn't know it yet, but I'm taking her to see Il Divo tonight  #fb",positive_friendly,
161,Off to the Miss Bikini Philippines pageant. Thanks to @veggiecircle for the ticket! ,positive_friendly,
162,i'm going global .. ,positive_friendly,
163,They are gone .. ,negative_rude,
164,Friends with scott again ,positive_friendly,
165,I think that my lovely brother @ScottyHolloway should take me and his lovely sister @Ho11y to Old Town for some dinn dinn &amp; margaritas ,positive_friendly,
166,Roast in the cooker and cakes in the oven soon.  Good morning!  Hope everyone is well today ,positive_friendly,
167,Wooo I picked my sister and I miss the empty house. ,negative_rude,
168,@aleahhh season is almost done with babe ,negative_rude,
169,off to work    byeee xox,negative_rude,
170,@alexandramusic Diversity won! damnn i wanted flawless to win ,negative_rude,
171,printin stuff for my aunt. dont ask y its so late. i forgot 2 do it earlier. ,negative_rude,
172, can some one pleease tell me how to work out the total surface area of a square pyramid? ,negative_rude,
173,@DENISE_RICHARDS love your hair  dont ever cut ur locks ,positive_friendly,
174,@okse *Phew* Hate to think you and Colin had fallen out! Glad he's smiling for you. Hip Hip Hip Hooray!! ,positive_friendly,
175,@Dee_Dee_3 high low ,positive_friendly,
176,"And the motivation came!  yay! Not finished yet, but well on my way!  Gonna go finish it. xx",positive_friendly,
177,Still cant get Jonas Bros tickets..dreading facing my niece later on ( I can see the tantrum now). Hope they put on another gig in Dublin ,negative_rude,
178,"I though the clothes of AW0910 Collection from +9 designers will be there, together with the visual arts, but it is not ",negative_rude,
179,On schedule now to soft launch tomorrow evening - already have first customer - lost cat ,positive_friendly,
180,&quot;Thank You [Lord] for reminding me to see myself the way You see me!&quot; ,positive_friendly,
181,@CharlieeSimpson I Was Looking at an Old Poster From Busted The Other Day  You Had Really Short Hair And Everythng   Young Ta Old ,positive_friendly,
182,"Ugh, so bored today! ",negative_rude,
183,home from a long day of work. i wore heels from 11am to 7pm. i must be crazy!! came right home to soak the feets. lol who wana rub em? ,positive_friendly,
184,Still at work  This entire week has felt like an extremely long and awful Monday!,negative_rude,
185,Upgraded iPhone to 3.0 but seem to have weaker link to tamu wireless ,negative_rude,
186,morning twitterland...off to work i go ,negative_rude,
187,@Debbiebarnhill I'm such a plantaholic.... I spent several thousand $s the last few years planting at my brothers lake cabin - he sold it ,negative_rude,
188,Trying to learn some &quot;PHOTOGRAPHY&quot; ,positive_friendly,
189,@KrisAllenmusic I'll be sure to vote for you in that competition.  A star with your name on it would go well with your Idol Trophy!,positive_friendly,
190,already miss baby donkey ,negative_rude,
191,@kpsomotragos I have it on good authority that we'll be getting it around 3am. ,negative_rude,
192,Just heard gun shots in my neighborhood!!! ,negative_rude,
193,Just watched hella home movies with my aunt and uncle. I miss the days where our whole family got along ,negative_rude,
194,I am sooo tired!! My eyes literally can't stay open ,negative_rude,
195,I hate word challenge on facebook! ,negative_rude,
196,is sad she couldn't go out with her girls tonight  It's been too long....,negative_rude,
197,PACKING SUCKS! i miss my Lee ,negative_rude,
198,O how i love you sammoons  o how i do. ,positive_friendly,
199,"Wants a free doughnut, Krispy Kremes are so expensive, but 10 million times better than other doughnuts. ",negative_rude,
200,new phone  tattoo on monday! Woo.. just had tea. yummy.,positive_friendly,
201,waiting for my hoe to come back ,negative_rude,
202,"i just cried a lot  im so over that all , and i cant hear it anymore...",negative_rude,
203,Trying to get on facebook!!! ,negative_rude,
204,I want to post lol cats on here but I can't ,negative_rude,
205,@RobbieTaylor I have no comment about who won the game until this replay is completed. ,positive_friendly,
206,Thank you everyone. I seriously am I lucky guy to have such great and lovely friends. Let's keep in touch  chuckishere.com at #LAX,positive_friendly,
207,friday gimmick in the office  but always looking forward for the weekend!,negative_rude,
208,TALK meeting tonight at Tampa Chamber at 6pm with @WOMlinda as guest speaker on Word of Mouth Marketing! Happy Hour after @ Tinatapas ,positive_friendly,
209,successfully obtained  visa entries to enter  and stay in the Royal Kingdom of Thailand! ,positive_friendly,
210,Downtown Disney ,positive_friendly,
211,missing my mom ,negative_rude,
212,A little sad  pretty bad news and feel too much insecure about my playing.,negative_rude,
213,@HuniB oOhwee naw i just been chillin tryna get use to this new work schedule of having to be at wrk @ 7... ,negative_rude,
214,@juzgalvez Hahaha! Don't be scared. They need fresh minds and you're it. ,positive_friendly,
215,grandparents arrive tomorrow... good nite ,positive_friendly,
216,that was a good chat!  keep u posted guys...,positive_friendly,
217,@BrokenStruggle to much waffle &amp; not enough drinking going on. he's a less annoying version of numpty! &amp; he's not you which makes me ,negative_rude,
218,@theclimbx3 i knooow  its the pizza girl episode xD &lt;3,positive_friendly,
219,"Random drunk girl sitting by my car: &quot;Is that your man bag?&quot;  Me: &quot;Yes, that's my man bag.&quot;  BTW, its name is Butch  ",positive_friendly,
220,lots of cool ppl  ~~&gt; @actionchick @thewildjoker @walterdoc @JGDemas @amilya @williger  #followfriday,positive_friendly,
221,Alright this is my debute twitt  yay lol,positive_friendly,
222,@Spitphyre girls i am outta it then  my exams,negative_rude,
223,Why do peep toe shoes hurt so bad ,negative_rude,
224,@Alyssa_Milano do celebs get more characters than the rest of us? ,positive_friendly,
225,need to charge my mac... ,negative_rude,
226,Keyshia cole loves bebe too!!! ,positive_friendly,
227,@dstarr I want my bed  x,negative_rude,
228,"Dang it....BRB....have to get the cake, candles and ice cream out and sing happy birthday to my niece. Sweet 16 ",positive_friendly,
229,"@StiffValentine Olympus E-410.  Besides the recent digital lenses, I also got an old 50mm OM lens which mounts via a simple adapter.  ",positive_friendly,
230,"is going to watch the brewer game, eat soup, play sims and sit in a vaporizer filled room. stupid cold. this sucks. ",negative_rude,
231,Hmmm.... My whole body feels sore! ,negative_rude,
232,@Venyadosae I'm sooo happy you'll get to re-take penguin pics! I collect penguin stuff and am a penguin FREAK! Can't wait to see ,positive_friendly,
233,"My server has been going down lots lately, it makes me a sad WoW player  lol",negative_rude,
234,how would you feel if @taylorswift13 was in a GoBernos video? eh eh ,positive_friendly,
235,"@timdifford cheers, I spotted that - couldn't find it on the App Store though ",negative_rude,
236,sore throat ,negative_rude,
237,He'd go anywhere with me ,positive_friendly,
238,@LexiePixie your tarot twreading is next. ,positive_friendly,
239,@Bowl_the_Bunny lol love how we put some in stars: *some* haha...*crosses fingers* i hope you get more ,positive_friendly,
240,This tea taste like pure WATER!!!  Yuck!,negative_rude,
241,sad that it's not my birthday anymore and that my balloon is deflating ,negative_rude,
242,"Great to get bk online, my own net was down ",negative_rude,
243,St Andrews is scaring me. ,negative_rude,
244,Finally done work YAY ,positive_friendly,
245,@DTatStar not nice  lol,negative_rude,
246,i aint alive....im just breathing to death ,negative_rude,
247,Sorry you missed it. Good night! ,positive_friendly,
248,oopss did that twice  D: im such a silly moo.,negative_rude,
249,"@acj525 mummmmmmmmmmm,  can you put the pizza in the oven ",positive_friendly,
250,@ibbypop haha yeeahh yeahh you know its only till 2:30 so its not too bad! ,positive_friendly,
251,@Jagusti shit! I thought it was months away  I'm not in Sheffield this weekend ,negative_rude,
252,@Shadez mmm...i wouldn't mind li'l Katy's either.. ,positive_friendly,
253,On a JEW mood. Downloading Futures. Chase the Light naman mamaya. Haha. ,positive_friendly,
254,Wishes @kirstiealley a Happy Mother's Day! ,positive_friendly,
255,"More rain due, ugh, going to a graduation today and was hoping the kids could go swimming ",negative_rude,
256,woke up early today...dont wanna go to school tomorrow... ,negative_rude,
257,I can't seem to fall asleep tonight ,negative_rude,
258,"#EU09 In 5 years we need a best coverage. World, take a look here, yes, here, Europe is moving ",positive_friendly,
259,That should give you happy thoughts ,positive_friendly,
260,@monzongo2009 OH NO!!!  Get well soon   I'm trying to get well myself in the midst of Merola.  Sending you virtual antibiotics ,negative_rude,
261,Dam texts woke me up ,negative_rude,
262,"I could seriously go back to sleep  working 3-11 tonight w/ mitch...but toni won't be there...it's not the same, but i hope it's fun! ilu!",negative_rude,
263,eatin an icecream ,positive_friendly,
264,"@FifthSenseNYC I'll be giving the Mark Birley a wear later this week, even though I'm not a &quot;quiet man&quot;. ",positive_friendly,
265,happy birthday to andy hurley ,positive_friendly,
266,Hangin with my bestie suzi ,positive_friendly,
267," FML.. today sucks.. i just hope the dance will bring my soul up.. i pray, but im still sad..i hateee todayyyyyy!!! &gt;;(",negative_rude,
268,But I will follow ,positive_friendly,
269,I'm saying good bye to a good friend tonight... kinda sad ,negative_rude,
270,my last nite in work for weeks.....ah im in such good humour ,positive_friendly,
271,"My Sonic skills have not improved... Running, fine. Spinning, awesome. Jump from platform to platform? The fail whale grabs me ",negative_rude,
272,"saw a red balloon flying outside my window. somewhere out there, a kid must be crying because the wind blew his balloon away... ",negative_rude,
273,Working today. Closing. 2 - 11. Missing out on Ming's birthday dinner/party. ,negative_rude,
274,@JoshBkelley just wanted to say the youngstown girls miss you  .. &amp; what happened to tell it like it is on itunes? cant find it!,negative_rude,
275,Ahhh...I finally don't have to keep 5 guys happy...I get waited on tonite ,positive_friendly,
276,hope you feel better mommy  I love you :X,negative_rude,
277,@KandyChazer it is...but i was told i was gonna be entertained and i wasnt ,negative_rude,
278,yay! just realized i'm not driving this trip and can do all the twittering!  ,positive_friendly,
279,"@amf7 Thank you for reminding me! I actually have something in mind given the date. Hint, it's Star Trek related. ",positive_friendly,
280,We should have brought a flask with v0dka. Hahaha. ,positive_friendly,
281,Just got pulled over on 36. I am fucking terrified of cops. My headlights out I guess  mew.,negative_rude,
282,gotta go check/console/convince 2 yo to stay in bed and that he actually WANTS to go to sleep... 20 min nap in car= past his sleep... ,negative_rude,
283,@cali_g510 ok   I got you!,positive_friendly,
284,Changed the background on here. About to go watch 'Mary Shellys Frankenstein'.  Add: http://bit.ly/4Qhlv,positive_friendly,
285,"@MANDY_EMMERSON I know you do, Go TEAM GB ",positive_friendly,
286,"@sdministry Hey scott, Its Ashli from Shelby County, We met when Rick and Mick were in town. How you been? It been awhile ",positive_friendly,
287,@temptationdice why did my family decide to have a family gathering?  i see why you hate them. -.-,negative_rude,
288,@kerryjor Happy Birthday!  Enjoy the cougar years - roar! ,positive_friendly,
289,I work 9-6 today with bitch boss ,negative_rude,
290,  DD has pinkeye...not fun.,negative_rude,
291,3 little birds pitch by my door step singing sweet songs of melodies pure &amp; true sayin dis is my message 2 you: dont worry about a thing ,positive_friendly,
292,Church of the Highlands @ 11:30 in the Bryant Conference Center! BE THERE!   ,positive_friendly,
293,Off to london biggin hill ,positive_friendly,
294,definitely just failed my exam ,negative_rude,
295,@Burlesquetron oh sorry I didn't see this tweet further down sorry. unhappy DD = 4 champers 4 me + looking 4 hair dye in back of cupboard ,positive_friendly,
296,@laurie_pringle I mention it in the blog post. It's in Vancouver. ,positive_friendly,
297,I am soooo happy!!! ,positive_friendly,
298,@Itxi_Itx @th3maw  This is a great conversation.  What else might you do with your sheets during the act of love?  eh?  eh?  ,positive_friendly,
299,mark cubans doin handsprings right now- the &quot;punks and thugs&quot; are sinking.. but he's not looking forward to paying dirk's child support. ,negative_rude,
300,@lovelyberries haha you can cuddle with me anytime ,positive_friendly,
301,had a lovely birthday.  http://plurk.com/p/xedq0,positive_friendly,
302,@judez_xo ugly kids there?  woahh where am i then. ,negative_rude,
303,@canadianfamily The best thing about my Mother's Day was my son. And the card my husband got me 'from' our 5.5 week old son. ,positive_friendly,
304,Just got off the  â  Misery loves company..... Haha,positive_friendly,
305,ugh sdre isnt coming here  lame. today can suck my dick.,negative_rude,
306,@andyclemmensen tv on mute cause its boring but then ipod with speakers on timer  now thats how its done.,positive_friendly,
307,TWO More weeks and its back to work. ,negative_rude,
308,is healthy breakfast then back to geography revision ,negative_rude,
309,off to sleep. GOOD NIGHT WORLD  hope it'll not rain tomorrow.,positive_friendly,
310,Kylie's being a bad girl today. ,negative_rude,
311,@LaYdeeDeliSh he's definately a strong lil guy! ,positive_friendly,
312,I watched UP! This time I cried  It's really sad and hilarious ... That movie totally rocks!,negative_rude,
313,just booked my driving test ,positive_friendly,
314,i've been working for more than 24 hours now ,negative_rude,
315,"@ddlovato I wish I was a celeb like you, Miley Cyrus, Selena Gomez, Taylor Swift, and all those pretty girls out there! ",positive_friendly,
316,I can't believe the last survivor of the Titanic died...that's really sad! ,negative_rude,
317,Starting to wonder if my future landlord is crazy or prejudice against americans.. this may not end well ,negative_rude,
318,@kiniaq and the reasons are never wrong my dear... they are absolutely lovely  wow,positive_friendly,
319,@lexia well done on all your reporting.  Haven't been vocal but have enjoyed and appreciated your work. Cheers lady. ,positive_friendly,
320,I would love the 85mm 1.2 .. but would settle for the 85mm 1.8. I'd also love a 1Dsmark3 for it to sit on ,positive_friendly,
321,@AngelIVXXX very good price ,positive_friendly,
322,@MrRathbone You have many friends here who will walk with you through the dark and the light. Smile ,positive_friendly,
323,soo hungry! hot dogs with all the fixings? sounds yummy ! ,positive_friendly,
324,is having a bad day - email not working properly and looks like the 10km run is off for me ,negative_rude,
325,@officialnjonas you speak my name in chat? please?I am a big fan your...follow me? ,positive_friendly,
326,"The Tonight Show w/ Conan was AWESOME!!! I missed that tall, pale, red-headed man! ",positive_friendly,
327,"@Hail_Mary_Jane: never date anyone who's on twitter, then you can't tweet about how whack they are.&lt;----sooooooooo true ",positive_friendly,
328,I need someone to talk to!  Who can that be? ,positive_friendly,
329,@BrianMcnugget still your old joker kinda self...im glad...i kinda miss it ,negative_rude,
330,un vot pe blogoree pls: http://bit.ly/ueUb6   Multumesc! ,positive_friendly,
331,"Dear baby, I can't wait until your teething days are over. ",negative_rude,
332,"@ninasplayground LOL, I didn't know it was on  OF COURSE if watch that dumb bitches show ;-) like a train wreck... Can't stop watching ;)",negative_rude,
333,@imPLastic ,positive_friendly,
334,"BlackBerry troubles all over.. fortunately enough I don't have one! My HTC Touch works fine, for almost 2 years! ",positive_friendly,
335,@MeganBull how do you know how much your twitter profile is worth?? haha...or was that a joke? ,positive_friendly,
336,http://mobypicture.com/?yxykxt - I knew it from the start. It's a two year old t-shirt by now. Always makes me pleased to see though. ,positive_friendly,
337,I had Wendy's before this. That was a bad choice   http://twitpic.com/6vlkp,negative_rude,
338,@cjm55 Thanks!  ,positive_friendly,
339,"why do people not just try to understand instead of getting pissed off  when someone needs you, its cause they love you...",negative_rude,
340,@Castiel_ yeah. totally. ,negative_rude,
341,@Lumiel Aren't you sweet? ,positive_friendly,
342,CDC Vaccine Advisor Pockets $29 Million Promoting Vaccines -  http://is.gd/M7Q8 - MORE ELITIST SCUM VACCINATION PROFITEERING - Sorry ,negative_rude,
343,@MissChriis i don't know how to celebrate yet. lol but i'm very excited about it. ,positive_friendly,
344,@windsorj Poor thing  Hope you feel brighter soon x,negative_rude,
345,Ah. The perfect summer day was ruined by the rain. Too good to be true.  but its still hot as hell. I feel sticky and gross. Long day. Ha,negative_rude,
346, i gotta work today,negative_rude,
347,@nowamunkie My pleasure. ,positive_friendly,
348,Blood Brothers was Amazing.  Got my program signed by the cast  Got a Picture with Sean Jones. ,positive_friendly,
349,bob to the top high school musical porno. ftw ,positive_friendly,
350,@DavidArchie I'm running a fever  If you gave me a shoutout I swear I'd get better! (HINTHINT!) HAHAHA.,negative_rude,
351,"@edicius during this Stanley Cup match up, yes, I am a Pens fan. ",positive_friendly,
352,"@besz I will tell you on Thursday all about Tuesday, I promise. How bout I skip all this, and just eat the monkey for breakfast? ",positive_friendly,
353,I thought it was meant to be a hot summer  to mean rain doesnt mean hot.,negative_rude,
